City,name,address,latitude,longitude,category,closed,avg_rating,num_of_reviews
MIAMI,Annie's Bake Shoppe,"Annie's Bake Shoppe, 10331 SW 54th St, Miami, FL 33165",25.71875,-80.375,BakeryGift basket store,0,4,3
SILVER SPRINGS,Shell,"Shell, 15877 E, FL-40, Silver Springs, FL 34488",29.1875,-81.875,Gas stationATMConvenience storeRestaurant,0,1,5
HOLLYWOOD,Baby Food Grill & Bar,"Baby Food Grill & Bar, 203 S 21st Ave, Hollywood, FL 33020",26.015625,-80.125,Mexican restaurant,0,3,2
HIALEAH,Bachata Rosa,"Bachata Rosa, 887w W 29th St, Hialeah, FL 33012",25.84375,-80.3125,Restaurant,0,3,8
ORLANDO,Food Truck De Camino al Cielo,"Food Truck De Camino al Cielo, 3310 S Conway Rd, Orlando, FL 32812",28.5,-81.3125,Takeout Restaurant,0,4,8
KEY LARGO,Bogie's Cafe,"Bogie's Cafe, 99701 Overseas Hwy, Key Largo, FL 33037",25.09375,-80.4375,American restaurant,0,4,8
ORLANDO,Subway,"Subway, 588 S Alafaya Trail #30, Orlando, FL 32828",28.53125,-81.1875,Sandwich shopCatererFast food restaurantTakeout RestaurantRestaurant,0,4,33
BOCA RATON,Chefness Bakery,"Chefness Bakery, 7160 Beracasa Way, Boca Raton, FL 33433",26.34375,-80.1875,BakeryCafeCafeteriaCake shopCupcake shopKosher grocery storeKosher restaurantPastry shopPizza restaurantWedding bakery,0,4,24
PALM BEACH GARDENS,Bar 91,"Bar 91, 400 Ave of the Champions, Palm Beach Gardens, FL 33418",26.828125,-80.125,Bar & grillBarRestaurantSports bar,0,3,8
MIAMI,Crab Du Jour Cajun Seafood & Bar,"Crab Du Jour Cajun Seafood & Bar, 3201 N Miami Ave Unit 106, Miami, FL 33127",25.8125,-80.1875,Seafood restaurantBarCajun restaurantChicken wings restaurant,0,4,88
TAMPA,Flock and Stock,"Flock and Stock, 615 Channelside Dr, Tampa, FL 33602",27.9375,-82.4375,Restaurant,0,2,52
KISSIMMEE,Antojitos Del Caribe,"Antojitos Del Caribe, 5811 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",28.328125,-81.5,Restaurant,0,3,8
JACKSONVILLE,Crumbl Cookies - Beach Haven,"Crumbl Cookies - Beach Haven, 3267 Hodges Blvd #2, Jacksonville, FL 32224",30.28125,-81.4375,BakeryCookie shopDessert shop,0,4,756
MIAMI,Pizza cubana& Italiana Dileo's House LLC,"Pizza cubana& Italiana Dileo's House LLC, 7300 W Flagler St, Miami, FL 33144",25.765625,-80.3125,Pizza restaurant,0,4,38
FORT LAUDERDALE,Celebrity Cakes,"Celebrity Cakes, 1915 NE 45th St #102, Fort Lauderdale, FL 33308",26.1875,-80.125,Wedding bakeryCake shopCookie shopCupcake shop,0,3,8
BONITA SPRINGS,Le Troquet French Restaurant,"Le Troquet French Restaurant, 25245 Chamber of Commerce Dr, Bonita Springs, FL 34135",26.375,-81.8125,Restaurant,0,4,8
HAINES CITY,Tu esquina sabrosa,"Tu esquina sabrosa, 2255 U.S. Hwy 17-92 N, Haines City, FL 33844",28.125,-81.625,Puerto Rican restaurant,0,4,15
