County Name,City,Cantidad,Cantidad Abiertos,Cantidad Cerrados,rating
HILLSBOROUGH,GIBSONTON,1,1,0,4.0
PUTNAM,POMONA PARK,1,1,0,3.0
PASCO,WESLEY CHAPEL,15,9,6,3.47
NASSAU,FERNANDINA BEACH,10,7,3,3.9
COLUMBIA,LAKE CITY,6,5,1,3.33
CLAY,ORANGE PARK,17,11,6,3.06
SARASOTA,SARASOTA,57,33,24,3.47
BAKER,MACCLENNY,4,4,0,3.5
MARION,DUNNELLON,5,2,3,3.2
BREVARD,COCOA BEACH,6,2,4,3.67
SARASOTA,OSPREY,1,1,0,4.0
ALACHUA,MICANOPY,1,0,1,4.0
LEE,SANIBEL,1,0,1,4.0
BAY,PANAMA CITY BEACH,13,8,5,3.46
JEFFERSON,LAMONT,1,1,0,3.0
SUMTER,BUSHNELL,2,0,2,3.5
POLK,FROSTPROOF,3,3,0,3.33
CITRUS,BEVERLY HILLS,2,1,1,3.0
MARION,WEIRSDALE,1,1,0,3.0
INDIAN RIVER,SEBASTIAN,4,1,3,3.75
SAINT JOHNS,SAINT AUGUSTINE,32,22,10,3.56
HILLSBOROUGH,LUTZ,14,12,2,3.64
MANATEE,ELLENTON,4,3,1,3.25
NASSAU,HILLIARD,3,3,0,3.33
OKALOOSA,SHALIMAR,1,1,0,4.0
HILLSBOROUGH,ODESSA,6,6,0,3.33
POLK,BARTOW,3,2,1,4.0
BREVARD,SEBASTIAN,1,1,0,4.0
DUVAL,JACKSONVILLE BEACH,21,13,8,3.76
MANATEE,BRADENTON BEACH,3,2,1,3.33
POLK,WINTER HAVEN,11,7,4,3.45
OKALOOSA,DESTIN,15,8,7,3.47
HARDEE,BOWLING GREEN,1,0,1,4.0
BAY,LYNN HAVEN,3,2,1,3.67
SUWANNEE,BRANFORD,2,2,0,4.0
PASCO,HOLIDAY,4,2,2,3.75
CITRUS,FLORAL CITY,1,0,1,4.0
LEVY,WILLISTON,1,1,0,2.0
GADSDEN,HAVANA,1,0,1,4.0
COLLIER,EVERGLADES CITY,1,1,0,4.0
PINELLAS,CLEARWATER BEACH,6,3,3,3.17
VOLUSIA,NEW SMYRNA BEACH,7,5,2,3.14
JACKSON,SNEADS,1,1,0,4.0
ORANGE,ORLANDO,268,162,106,3.44
SEMINOLE,LONGWOOD,10,4,6,3.4
SAINT JOHNS,PONTE VEDRA,6,6,0,3.83
ORANGE,MAITLAND,3,2,1,3.0
SEMINOLE,WINTER SPRINGS,10,7,3,3.7
COLUMBIA,FORT WHITE,1,1,0,3.0
