County Name,City,Cantidad,Cantidad Abiertos,Cantidad Cerrados,rating
JACKSON,MARIANNA,2,1,1,3.5
PINELLAS,PALM HARBOR,11,9,2,3.55
FRANKLIN,CARRABELLE,2,1,1,3.5
ALACHUA,ALACHUA,3,3,0,3.67
HILLSBOROUGH,THONOTOSASSA,1,1,0,4.0
ORANGE,APOPKA,10,7,3,3.4
GADSDEN,QUINCY,8,7,1,3.75
ORANGE,WINTER PARK,22,17,5,3.5
BRADFORD,STARKE,3,3,0,3.67
PALM BEACH,LAKE WORTH,29,20,9,3.45
POLK,DUNDEE,1,1,0,3.0
HENDRY,CLEWISTON,6,6,0,3.5
CITRUS,HERNANDO,1,1,0,4.0
POLK,HAINES CITY,10,8,2,3.9
MANATEE,BRADENTON,48,26,22,3.56
MONROE,SUMMERLAND KEY,1,1,0,4.0
WAKULLA,CRAWFORDVILLE,6,3,3,3.33
HILLSBOROUGH,WIMAUMA,2,2,0,3.0
PASCO,SAN ANTONIO,2,2,0,4.0
FLAGLER,PALM COAST,8,6,2,3.75
MONROE,BIG PINE KEY,2,2,0,3.5
MARION,SILVER SPRINGS,5,4,1,2.2
LEE,ALVA,2,0,2,3.0
LEE,BOCA GRANDE,1,1,0,4.0
LAKE,SORRENTO,1,1,0,4.0
SUMTER,BUSHNELL,2,0,2,3.5
ALACHUA,ARCHER,1,1,0,3.0
ORANGE,ORLANDO,267,162,105,3.44
SEMINOLE,WINTER SPRINGS,10,7,3,3.7
SARASOTA,NORTH PORT,6,5,1,3.17
SARASOTA,VENICE,12,8,4,3.08
PINELLAS,TARPON SPRINGS,9,4,5,4.11
JACKSON,SNEADS,1,1,0,4.0
CLAY,KEYSTONE HEIGHTS,3,3,0,3.67
PINELLAS,CLEARWATER BEACH,6,3,3,3.17
ALACHUA,NEWBERRY,5,5,0,3.4
MANATEE,SARASOTA,6,5,1,3.0
WASHINGTON,CHIPLEY,1,1,0,3.0
PUTNAM,MELROSE,3,3,0,3.67
HILLSBOROUGH,RUSKIN,4,3,1,3.75
ALACHUA,MICANOPY,1,0,1,4.0
MANATEE,ANNA MARIA,1,1,0,5.0
LEE,NORTH FORT MYERS,4,1,3,3.5
CLAY,ORANGE PARK,17,11,6,3.06
ORANGE,OCOEE,12,9,3,3.92
HARDEE,BOWLING GREEN,1,0,1,4.0
POLK,FORT MEADE,4,4,0,3.0
COLUMBIA,LAKE CITY,6,5,1,3.33
PALM BEACH,BOYNTON BEACH,32,25,7,3.5
OKALOOSA,DESTIN,15,8,7,3.47
PASCO,HOLIDAY,4,2,2,3.75
HIGHLANDS,LAKE PLACID,4,3,1,3.75
OSCEOLA,KENANSVILLE,1,1,0,2.0
POLK,AUBURNDALE,5,4,1,3.4
BREVARD,SATELLITE BEACH,4,3,1,3.0
CLAY,FLEMING ISLAND,7,7,0,3.57
SUMTER,THE VILLAGES,10,6,4,3.4
MARION,WEIRSDALE,1,1,0,3.0
OKALOOSA,FORT WALTON BEACH,14,8,6,3.43
ALACHUA,WALDO,1,0,1,4.0
HARDEE,ZOLFO SPRINGS,1,1,0,4.0
GADSDEN,MIDWAY,1,1,0,3.0
CITRUS,INVERNESS,6,3,3,3.17
GILCHRIST,TRENTON,2,2,0,3.0
PINELLAS,SAFETY HARBOR,4,1,3,4.0
WALTON,FREEPORT,1,1,0,4.0
SANTA ROSA,NAVARRE,1,1,0,4.0
SEMINOLE,SANFORD,24,13,11,2.83
PUTNAM,PALATKA,6,6,0,3.83
PALM BEACH,NORTH PALM BEACH,6,5,1,3.67
LAKE,EUSTIS,4,4,0,3.75
BROWARD,HOLLYWOOD,84,52,32,3.52
DIXIE,HORSESHOE BEACH,1,1,0,4.0
MARION,OCALA,55,43,12,3.64
MONROE,KEY LARGO,13,10,3,3.62
SUMTER,WILDWOOD,7,5,2,2.86
PALM BEACH,JUPITER,20,13,7,3.85
WASHINGTON,EBRO,1,1,0,4.0
GULF,WEWAHITCHKA,2,2,0,3.5
MIAMI-DADE,KEY BISCAYNE,5,5,0,3.8
VOLUSIA,DE LEON SPRINGS,1,0,1,4.0
POLK,MULBERRY,2,1,1,3.5
VOLUSIA,NEW SMYRNA BEACH,7,5,2,3.14
OSCEOLA,KISSIMMEE,36,23,13,3.19
PALM BEACH,WELLINGTON,10,7,3,3.3
POLK,LAKE WALES,8,6,2,3.38
MONROE,MARATHON,3,2,1,4.0
POLK,BARTOW,3,2,1,4.0
MONROE,KEY WEST,18,9,9,3.61
LEON,TALLAHASSEE,66,40,26,3.48
NASSAU,HILLIARD,3,3,0,3.33
LAKE,LEESBURG,15,6,9,3.53
BREVARD,TITUSVILLE,10,3,7,3.2
SARASOTA,OSPREY,1,1,0,4.0
HILLSBOROUGH,GIBSONTON,1,1,0,4.0
CLAY,GREEN COVE SPRINGS,4,3,1,3.75
MANATEE,ELLENTON,4,3,1,3.25
CHARLOTTE,ENGLEWOOD,2,1,1,3.5
HILLSBOROUGH,DOVER,3,2,1,4.0
DUVAL,JACKSONVILLE,173,112,61,3.48
SANTA ROSA,JAY,1,1,0,4.0
SEMINOLE,LAKE MONROE,1,1,0,4.0
SEMINOLE,LONGWOOD,10,4,6,3.4
MADISON,MADISON,4,2,2,3.5
BAY,MEXICO BEACH,1,1,0,3.0
INDIAN RIVER,SEBASTIAN,4,1,3,3.75
OSCEOLA,SAINT CLOUD,10,9,1,3.1
LAKE,LADY LAKE,4,1,3,3.5
MANATEE,BRADENTON BEACH,3,2,1,3.33
GADSDEN,GREENSBORO,1,1,0,4.0
SUMTER,OXFORD,1,1,0,3.0
ESCAMBIA,CANTONMENT,3,3,0,3.33
HARDEE,WAUCHULA,6,3,3,3.83
BREVARD,COCOA BEACH,6,2,4,3.67
SANTA ROSA,MILTON,18,15,3,3.56
SAINT JOHNS,SAINT JOHNS,11,10,1,3.0
LEE,SAINT JAMES CITY,1,1,0,4.0
SANTA ROSA,GULF BREEZE,11,7,4,3.45
VOLUSIA,ORMOND BEACH,17,11,6,3.53
VOLUSIA,OSTEEN,1,1,0,3.0
MONROE,TAVERNIER,2,1,1,3.0
LEE,CAPE CORAL,18,12,6,3.67
WAKULLA,SAINT MARKS,1,1,0,3.0
PINELLAS,SEMINOLE,9,6,3,3.67
JEFFERSON,LAMONT,1,1,0,3.0
NASSAU,CALLAHAN,1,1,0,4.0
PALM BEACH,LOXAHATCHEE,2,1,1,3.0
COLLIER,IMMOKALEE,4,3,1,3.75
LAKE,TAVARES,4,3,1,3.5
FLAGLER,BUNNELL,2,0,2,4.0
OKALOOSA,NICEVILLE,6,4,2,3.67
FLAGLER,FLAGLER BEACH,3,0,3,3.33
COLLIER,NAPLES,98,64,34,3.51
WALTON,DEFUNIAK SPRINGS,2,2,0,3.0
WALTON,SANTA ROSA BEACH,5,4,1,3.8
WALTON,MIRAMAR BEACH,7,3,4,3.0
HILLSBOROUGH,RIVERVIEW,13,5,8,3.15
VOLUSIA,DELTONA,10,10,0,3.6
SARASOTA,NOKOMIS,1,1,0,2.0
PINELLAS,PINELLAS PARK,11,6,5,4.09
MANATEE,PALMETTO,3,3,0,4.33
BAY,PANAMA CITY,35,12,23,3.63
SEMINOLE,GENEVA,2,2,0,3.5
BREVARD,ROCKLEDGE,4,2,2,4.25
BREVARD,INDIALANTIC,2,1,1,4.0
PINELLAS,LARGO,24,15,9,3.54
LEVY,CEDAR KEY,1,0,1,4.0
MARION,REDDICK,2,1,1,4.0
HERNANDO,SPRING HILL,16,14,2,3.69
MARTIN,INDIANTOWN,1,1,0,3.0
LEVY,CHIEFLAND,3,1,2,3.0
HILLSBOROUGH,SUN CITY CENTER,1,1,0,3.0
LEE,LEHIGH ACRES,6,6,0,3.67
ORANGE,WINDERMERE,3,2,1,4.0
BAY,LYNN HAVEN,3,2,1,3.67
LEVY,INGLIS,1,1,0,3.0
OKEECHOBEE,OKEECHOBEE,8,7,1,2.88
MARION,BELLEVIEW,2,2,0,3.5
MIAMI-DADE,HOMESTEAD,19,11,8,3.63
SEMINOLE,LAKE MARY,18,7,11,3.39
HILLSBOROUGH,LUTZ,14,12,2,3.64
SAINT JOHNS,SAINT AUGUSTINE,32,22,10,3.56
MIAMI-DADE,MIAMI BEACH,43,17,26,3.56
ESCAMBIA,PENSACOLA,61,41,20,3.34
BROWARD,PLANTATION,1,1,0,3.0
WALTON,ROSEMARY BEACH,1,1,0,4.0
LEE,BONITA SPRINGS,18,13,5,3.61
VOLUSIA,PORT ORANGE,14,5,9,3.57
POLK,POLK CITY,1,1,0,2.0
MARION,SUMMERFIELD,3,3,0,4.0
BROWARD,DANIA,3,1,2,2.67
LEE,BOKEELIA,1,1,0,3.0
WASHINGTON,VERNON,1,0,1,4.0
MARION,CITRA,2,1,1,4.0
JACKSON,GRACEVILLE,1,1,0,3.0
LIBERTY,BRISTOL,1,0,1,4.0
CHARLOTTE,ROTONDA WEST,1,0,1,4.0
SUWANNEE,WELLBORN,1,1,0,4.0
BROWARD,FORT LAUDERDALE,185,103,82,3.37
HILLSBOROUGH,SEFFNER,6,4,2,3.67
PUTNAM,POMONA PARK,1,1,0,3.0
HIGHLANDS,AVON PARK,4,3,1,4.0
CITRUS,HOMOSASSA,3,2,1,3.33
MIAMI-DADE,OPA LOCKA,10,7,3,3.4
MIAMI-DADE,MIAMI,379,237,142,3.58
HIGHLANDS,SEBRING,4,4,0,4.0
MARION,DUNNELLON,5,2,3,3.2
BREVARD,PATRICK AFB,2,0,2,3.5
BREVARD,MELBOURNE,46,27,19,3.57
CHARLOTTE,PUNTA GORDA,13,9,4,3.69
BREVARD,SEBASTIAN,1,1,0,4.0
PINELLAS,OLDSMAR,4,2,2,3.5
PUTNAM,EAST PALATKA,2,1,1,3.0
PASCO,NEW PORT RICHEY,16,13,3,3.69
CALHOUN,BLOUNTSTOWN,4,1,3,3.75
PINELLAS,DUNEDIN,3,2,1,3.67
OKALOOSA,EGLIN AFB,5,5,0,3.6
NASSAU,YULEE,7,5,2,3.29
COLLIER,EVERGLADES CITY,1,1,0,4.0
SUMTER,LAKE PANASOFFKEE,1,1,0,3.0
BAY,PANAMA CITY BEACH,13,8,5,3.46
ORANGE,MAITLAND,3,2,1,3.0
LEE,FORT MYERS,88,64,24,3.56
LAKE,MOUNT DORA,14,13,1,3.79
SEMINOLE,ALTAMONTE SPRINGS,15,10,5,3.47
COLUMBIA,FORT WHITE,1,1,0,3.0
HILLSBOROUGH,PLANT CITY,2,2,0,3.5
SARASOTA,ENGLEWOOD,2,1,1,4.0
HILLSBOROUGH,VALRICO,5,4,1,4.0
PASCO,WESLEY CHAPEL,15,9,6,3.47
PALM BEACH,PALM BEACH,6,2,4,4.17
VOLUSIA,DAYTONA BEACH,28,14,14,3.36
PASCO,PORT RICHEY,7,1,6,3.14
BREVARD,COCOA,6,4,2,3.17
PALM BEACH,PALM BEACH GARDENS,22,14,8,3.14
POLK,LAKELAND,56,36,20,3.45
SEMINOLE,CASSELBERRY,3,1,2,3.33
SAINT JOHNS,HASTINGS,2,2,0,4.0
OKALOOSA,CRESTVIEW,5,3,2,3.4
ORANGE,WINTER GARDEN,14,10,4,3.43
COLLIER,MARCO ISLAND,7,4,3,3.43
SEMINOLE,OVIEDO,22,9,13,3.41
SARASOTA,SARASOTA,57,33,24,3.47
PASCO,ZEPHYRHILLS,5,5,0,3.8
NASSAU,FERNANDINA BEACH,10,7,3,3.9
SAINT JOHNS,ELKTON,1,1,0,3.0
MARION,FORT MC COY,4,4,0,3.75
BREVARD,PALM BAY,10,6,4,3.5
OKALOOSA,SHALIMAR,1,1,0,4.0
HILLSBOROUGH,APOLLO BEACH,1,0,1,3.0
PASCO,LAND O LAKES,4,3,1,3.75
JEFFERSON,MONTICELLO,2,2,0,3.5
HILLSBOROUGH,BRANDON,23,14,9,3.26
POLK,WINTER HAVEN,11,7,4,3.45
LEE,SANIBEL,1,0,1,4.0
CITRUS,CRYSTAL RIVER,3,3,0,2.67
LEE,CAPTIVA,1,1,0,3.0
LEE,FORT MYERS BEACH,6,4,2,3.33
PASCO,HUDSON,3,0,3,3.0
PUTNAM,FLORAHOME,1,1,0,3.0
ALACHUA,HIGH SPRINGS,2,2,0,4.0
PALM BEACH,WEST PALM BEACH,77,52,25,3.36
VOLUSIA,PIERSON,1,0,1,5.0
PASCO,DADE CITY,2,2,0,4.0
HENDRY,LABELLE,4,3,1,3.5
DUVAL,JACKSONVILLE BEACH,21,13,8,3.76
DIXIE,CROSS CITY,3,3,0,3.33
HILLSBOROUGH,TAMPA,204,115,89,3.45
BROWARD,DEERFIELD BEACH,9,6,3,3.44
DUVAL,NEPTUNE BEACH,2,1,1,3.0
