name,address,latitude,longitude,category,avg_rating,num_of_reviews,url,restaurant,bakery,dessert,pastry,closed,zip,st
Cape Seafood Shack,"Cape Seafood Shack, 603 Del Prado Blvd S, Cape Coral, FL 33990",26.640625,-81.9375,Restaurant,5,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db4147b1d9e6f3:0x943dbd10a92ba1b1?authuser=-1&hl=en&gl=us,1,0,0,0,1,33990,FL
Fresh Point Country Buffet,"Fresh Point Country Buffet, 10525 US-19, Pinellas Park, FL 33782",27.875,-82.6875,Buffet restaurant,5,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2e4e34f1ed783:0x76c5da381c499d79?authuser=-1&hl=en&gl=us,1,0,0,0,1,33782,FL
Oneyda's Bakery,"Oneyda's Bakery, 600 Goodlette-Frank Rd #101, Naples, FL 34102",26.15625,-81.8125,BakeryDeli,4,19,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dae191ee505917:0x6ba3e25388d3fad4?authuser=-1&hl=en&gl=us,0,1,0,0,1,34102,FL
Annie's Bake Shoppe,"Annie's Bake Shoppe, 10331 SW 54th St, Miami, FL 33165",25.71875,-80.375,BakeryGift basket store,4,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9c754413f6c9d:0x1f93eff5e0ba9c16?authuser=-1&hl=en&gl=us,0,1,0,0,0,33165,FL
Hot Box,"Hot Box, 1-99 Kinkaid St, Pensacola, FL 32507",30.390625,-87.25,Restaurant,4,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8890b9241e704667:0x3a1e565c17c00993?authuser=-1&hl=en&gl=us,1,0,0,0,1,32507,FL
Gormley's on the river | Modern cuisine in historic downtown Apalachicola Florida,"Gormley's on the river | Modern cuisine in historic downtown Apalachicola Florida, 123 Water St, Apalachicola, FL 32320",29.734375,-85.0,Modern French restaurantRestaurant,4,17,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8894b5a7a7909725:0xe4687299fd288188?authuser=-1&hl=en&gl=us,1,0,0,0,1,32320,FL
Shell,"Shell, 15877 E, FL-40, Silver Springs, FL 34488",29.1875,-81.875,Gas stationATMConvenience storeRestaurant,1,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e635378f43352f:0xa1b53c63436fa428?authuser=-1&hl=en&gl=us,1,0,0,0,0,34488,FL
Kala' Bites & Brews,"Kala' Bites & Brews, 17100 Gulf Blvd, North Redington Beach, FL 33708",27.8125,-82.8125,BarBeer storeRestaurant,5,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2fea614c52c8b:0x50e166caa05e8c0f?authuser=-1&hl=en&gl=us,1,0,0,0,1,33708,FL
Baby Food Grill & Bar,"Baby Food Grill & Bar, 203 S 21st Ave, Hollywood, FL 33020",26.015625,-80.125,Mexican restaurant,3,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9ab98b5baad79:0x1a2e3f0642a55246?authuser=-1&hl=en&gl=us,1,0,0,0,0,33020,FL
Chinese Restaurant,"Chinese Restaurant, Coral Terrace, FL 33155",25.734375,-80.3125,Restaurant,5,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b86c23bb04eb:0x2a82da546b7feb1b?authuser=-1&hl=en&gl=us,1,0,0,0,1,33155,FL
Bachata Rosa,"Bachata Rosa, 887w W 29th St, Hialeah, FL 33012",25.84375,-80.3125,Restaurant,3,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9ba5d65937567:0xbc27649cf513cc89?authuser=-1&hl=en&gl=us,1,0,0,0,0,33012,FL
Zampini's Bottega,"Zampini's Bottega, 510 SE 5th Ave, Fort Lauderdale, FL 33301",26.109375,-80.125,Restaurant,4,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d900575f0dd065:0x9b3638d2a80be4d?authuser=-1&hl=en&gl=us,1,0,0,0,1,33301,FL
