zip,Zipcode name,City,State,County Name,population
32024,"""LAKE CITY. FL""",LAKE CITY,FL,COLUMBIA,12329
32025,"""LAKE CITY. FL""",LAKE CITY,FL,COLUMBIA,12329
32034,"""FERNANDINA BEACH. FL""",FERNANDINA BEACH,FL,NASSAU,13052
32035,"""FERNANDINA BEACH. FL""",FERNANDINA BEACH,FL,NASSAU,13052
32043,"""GREEN COVE SPRINGS. FL""",GREEN COVE SPRINGS,FL,CLAY,9786
32044,"""HAMPTON. FL""",HAMPTON,FL,BRADFORD,432
32052,"""JASPER. FL""",JASPER,FL,HAMILTON,3621
32054,"""LAKE BUTLER. FL""",LAKE BUTLER,FL,UNION,1986
32055,"""LAKE CITY. FL""",LAKE CITY,FL,COLUMBIA,12329
32056,"""LAKE CITY. FL""",LAKE CITY,FL,COLUMBIA,12329
32058,"""LAWTEY. FL""",LAWTEY,FL,BRADFORD,636
32060,"""LIVE OAK. FL""",LIVE OAK,FL,SUWANNEE,6735
32063,"""MACCLENNY. FL""",MACCLENNY,FL,BAKER,7304
32064,"""LIVE OAK. FL""",LIVE OAK,FL,SUWANNEE,6735
32091,"""STARKE. FL""",STARKE,FL,BRADFORD,5796
32099,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32110,"""BUNNELL. FL""",BUNNELL,FL,FLAGLER,3276
32112,"""CRESCENT CITY. FL""",CRESCENT CITY,FL,PUTNAM,1654
32114,"""DAYTONA BEACH. FL""",DAYTONA BEACH,FL,VOLUSIA,72647
32115,"""DAYTONA BEACH. FL""",DAYTONA BEACH,FL,VOLUSIA,72647
32116,"""DAYTONA BEACH. FL""",DAYTONA BEACH,FL,VOLUSIA,72647
32117,"""DAYTONA BEACH. FL""",DAYTONA BEACH,FL,VOLUSIA,72647
32118,"""DAYTONA BEACH. FL""",DAYTONA BEACH,FL,VOLUSIA,72647
32119,"""DAYTONA BEACH. FL""",DAYTONA BEACH,FL,VOLUSIA,72647
32120,"""DAYTONA BEACH. FL""",DAYTONA BEACH,FL,VOLUSIA,72647
32121,"""DAYTONA BEACH. FL""",DAYTONA BEACH,FL,VOLUSIA,72647
32122,"""DAYTONA BEACH. FL""",DAYTONA BEACH,FL,VOLUSIA,72647
32123,"""PORT ORANGE. FL""",PORT ORANGE,FL,VOLUSIA,62596
32124,"""DAYTONA BEACH. FL""",DAYTONA BEACH,FL,VOLUSIA,72647
32125,"""DAYTONA BEACH. FL""",DAYTONA BEACH,FL,VOLUSIA,72647
32126,"""DAYTONA BEACH. FL""",DAYTONA BEACH,FL,VOLUSIA,72647
32127,"""PORT ORANGE. FL""",PORT ORANGE,FL,VOLUSIA,62596
32128,"""PORT ORANGE. FL""",PORT ORANGE,FL,VOLUSIA,62596
32129,"""PORT ORANGE. FL""",PORT ORANGE,FL,VOLUSIA,62596
32132,"""EDGEWATER. FL""",EDGEWATER,FL,VOLUSIA,23097
32135,"""PALM COAST. FL""",PALM COAST,FL,FLAGLER,89258
32136,"""FLAGLER BEACH. FL""",FLAGLER BEACH,FL,FLAGLER,5160
32137,"""PALM COAST. FL""",PALM COAST,FL,FLAGLER,89258
32141,"""EDGEWATER. FL""",EDGEWATER,FL,VOLUSIA,23097
32164,"""PALM COAST. FL""",PALM COAST,FL,FLAGLER,89258
32168,"""NEW SMYRNA BEACH. FL""",NEW SMYRNA BEACH,FL,VOLUSIA,30142
32169,"""NEW SMYRNA BEACH. FL""",NEW SMYRNA BEACH,FL,VOLUSIA,30142
32170,"""NEW SMYRNA BEACH. FL""",NEW SMYRNA BEACH,FL,VOLUSIA,30142
32173,"""ORMOND BEACH. FL""",ORMOND BEACH,FL,VOLUSIA,43080
32174,"""ORMOND BEACH. FL""",ORMOND BEACH,FL,VOLUSIA,43080
32175,"""ORMOND BEACH. FL""",ORMOND BEACH,FL,VOLUSIA,43080
32176,"""ORMOND BEACH. FL""",ORMOND BEACH,FL,VOLUSIA,43080
32177,"""PALATKA. FL""",PALATKA,FL,PUTNAM,10446
32178,"""PALATKA. FL""",PALATKA,FL,PUTNAM,10446
32201,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32202,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32203,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32204,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32205,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32206,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32207,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32208,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32209,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32210,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32211,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32212,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
