County Name,City,poblacion
ALACHUA,HIGH SPRINGS,6215.0
ALACHUA,ARCHER,1140.0
ALACHUA,HAWTHORNE,1478.0
ALACHUA,GAINESVILLE,141085.0
ALACHUA,WALDO,846.0
ALACHUA,NEWBERRY,7342.0
ALACHUA,ALACHUA,10574.0
BAKER,MACCLENNY,7304.0
BAY,MEXICO BEACH,916.0
BAY,LYNN HAVEN,18695.0
BAY,PANAMA CITY,32939.0
BAY,PANAMA CITY BEACH,18094.0
BRADFORD,STARKE,5796.0
BRADFORD,HAMPTON,432.0
BRADFORD,LAWTEY,636.0
BREVARD,ROCKLEDGE,27678.0
BREVARD,COCOA BEACH,11354.0
BREVARD,SEBASTIAN,25054.0
BREVARD,TITUSVILLE,48789.0
BREVARD,COCOA,19041.0
BREVARD,SATELLITE BEACH,11226.0
BREVARD,ORLANDO,307573.0
BREVARD,PALM BAY,119760.0
BREVARD,MELBOURNE,84678.0
BREVARD,CAPE CANAVERAL,9972.0
BROWARD,FORT LAUDERDALE,182760.0
BROWARD,PEMBROKE PINES,171178.0
BROWARD,POMPANO BEACH,112046.0
BROWARD,DEERFIELD BEACH,86859.0
BROWARD,PLANTATION,91750.0
BROWARD,CORAL SPRINGS,134394.0
BROWARD,HOLLYWOOD,153067.0
BROWARD,COCONUT CREEK,57833.0
BROWARD,MARGATE,58712.0
CALHOUN,BLOUNTSTOWN,2266.0
CALHOUN,WEWAHITCHKA,2074.0
CHARLOTTE,PUNTA GORDA,19471.0
CITRUS,CRYSTAL RIVER,3396.0
CITRUS,INVERNESS,7543.0
CITRUS,DUNNELLON,1928.0
CLAY,GREEN COVE SPRINGS,9786.0
CLAY,KEYSTONE HEIGHTS,1446.0
COLLIER,MARCO ISLAND,15760.0
COLLIER,NAPLES,19115.0
COLUMBIA,LAKE CITY,12329.0
DE SOTO,ARCADIA,7420.0
DUVAL,ATLANTIC BEACH,13513.0
DUVAL,JACKSONVILLE BEACH,23830.0
DUVAL,JACKSONVILLE,949611.0
DUVAL,NEPTUNE BEACH,7217.0
ESCAMBIA,PENSACOLA,54312.0
FLAGLER,FLAGLER BEACH,5160.0
