name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,relative_results,url,restaurant,bakery,dessert,pastry,closed,street,zip,open,close,City,County Name,avg_rating_right,num_of_reviews_right
Cape Seafood Shack,"Cape Seafood Shack, 603 Del Prado Blvd S, Cape Coral, FL 33990",0x88db4147b1d9e6f3:0x943dbd10a92ba1b1,,26.640625,-81.9375,Restaurant,5.0,1,$$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db4147b1d9e6f3:0x943dbd10a92ba1b1?authuser=-1&hl=en&gl=us,1,0,0,0,1,603 Del Prado Blvd S FL USA,33990,,,CAPE CORAL,LEE,,
Fresh Point Country Buffet,"Fresh Point Country Buffet, 10525 US-19, Pinellas Park, FL 33782",0x88c2e4e34f1ed783:0x76c5da381c499d79,,27.875,-82.6875,Buffet restaurant,5.0,2,,1.0,1.0,"0x88c2e5593fbd022b:0x2ccd7a719849c9f7,0x88c2e686e0c79ef5:0x245b6b8e32169e68,0x88c2fbbede907225:0xc29c9db2021f7ced,0x88c2f228ed8893a3:0xbd7b4c9169a3991f",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2e4e34f1ed783:0x76c5da381c499d79?authuser=-1&hl=en&gl=us,1,0,0,0,1,10525 US-19 FL USA,33782,Permanently closed,Permanently closed,PINELLAS PARK,PINELLAS,4.34,813
Oneyda's Bakery,"Oneyda's Bakery, 600 Goodlette-Frank Rd #101, Naples, FL 34102",0x88dae191ee505917:0x6ba3e25388d3fad4,,26.15625,-81.8125,"Bakery,Deli",4.0,19,$,1.0,1.0,"0x88dae1997e122d6b:0xfd776fa851f06d29,0x88dae2156941cbab:0xcb432ada773bd51c",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dae191ee505917:0x6ba3e25388d3fad4?authuser=-1&hl=en&gl=us,0,1,0,0,1,600 Goodlette-Frank Rd #101 FL USA,34102,Permanently closed,Permanently closed,NAPLES,COLLIER,,
Annie's Bake Shoppe,"Annie's Bake Shoppe, 10331 SW 54th St, Miami, FL 33165",0x88d9c754413f6c9d:0x1f93eff5e0ba9c16,,25.71875,-80.375,"Bakery,Gift basket store",4.0,3,,1.0,1.0,"0x88d9c75ec79f02c5:0xcc673b8b4ac95579,0x88d9c750d52cf8b7:0x4637d48d514880c2,0x88d9c0b8cc42f251:0xf9585712df810260,0x88d9c7464095b43b:0xa6e4899063267a35,0x88d9c7497c9b36dd:0x6e181f81cf060bb9",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9c754413f6c9d:0x1f93eff5e0ba9c16?authuser=-1&hl=en&gl=us,0,1,0,0,0,10331 SW 54th St FL USA,33165,,4PM,MIAMI,MIAMI-DADE,4.33,48
Hot Box,"Hot Box, 1-99 Kinkaid St, Pensacola, FL 32507",0x8890b9241e704667:0x3a1e565c17c00993,,30.390625,-87.25,Restaurant,4.0,5,,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8890b9241e704667:0x3a1e565c17c00993?authuser=-1&hl=en&gl=us,1,0,0,0,1,1-99 Kinkaid St FL USA,32507,Permanently closed,Permanently closed,PENSACOLA,ESCAMBIA,,
Gormley's on the river | Modern cuisine in historic downtown Apalachicola Florida,"Gormley's on the river | Modern cuisine in historic downtown Apalachicola Florida, 123 Water St, Apalachicola, FL 32320",0x8894b5a7a7909725:0xe4687299fd288188,,29.734375,-85.0,"Modern French restaurant,Restaurant",4.0,17,,1.0,1.0,"0x8894b5a649e1f5cb:0xe5ef826dc2f3842f,0x8894b5a7b6c7be27:0xfb36dd36230d905b",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8894b5a7a7909725:0xe4687299fd288188?authuser=-1&hl=en&gl=us,1,0,0,0,1,123 Water St FL USA,32320,Permanently closed,Permanently closed,APALACHICOLA,FRANKLIN,,
Shell,"Shell, 15877 E, FL-40, Silver Springs, FL 34488",0x88e635378f43352f:0xa1b53c63436fa428,,29.1875,-81.875,"Gas station,ATM,Convenience store,Restaurant",1.0,5,$$,1.0,1.0,"0x88e63553f70565a5:0xef9cb3782a5dbd73,0x88e634e757558281:0x5b5ee25c5477209e,0x88e63372d0e93575:0xcc0d3248b5c1c138,0x88e7cdc59bf3cb93:0x86ff78d8bd9d6086,0x88e7c91920c94f27:0xb82f171dc826896",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e635378f43352f:0xa1b53c63436fa428?authuser=-1&hl=en&gl=us,1,0,0,0,0,15877 E FL USA,34488,Open 24 hours,Open 24 hours,,,3.86,1134
Kala' Bites & Brews,"Kala' Bites & Brews, 17100 Gulf Blvd, North Redington Beach, FL 33708",0x88c2fea614c52c8b:0x50e166caa05e8c0f,,27.8125,-82.8125,"Bar,Beer store,Restaurant",5.0,2,,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2fea614c52c8b:0x50e166caa05e8c0f?authuser=-1&hl=en&gl=us,1,0,0,0,1,17100 Gulf Blvd FL USA,33708,Permanently closed,Permanently closed,,,,
Baby Food Grill & Bar,"Baby Food Grill & Bar, 203 S 21st Ave, Hollywood, FL 33020",0x88d9ab98b5baad79:0x1a2e3f0642a55246,,26.015625,-80.125,Mexican restaurant,3.0,2,,1.0,1.0,"0x88d9ab9f7c15f7dd:0x6a5d5a6092d262b9,0x88d9aba9e7dd0e21:0xc59b39af50b85bb1,0x88d9ac78e5683acb:0x95d19d8d31fe6342,0x88d9ab2356ac1c9f:0xcdc2c6b4c5f70daf,0x88d9ab98aaf3b653:0x2c2ba81bb9722328",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9ab98b5baad79:0x1a2e3f0642a55246?authuser=-1&hl=en&gl=us,1,0,0,0,0,203 S 21st Ave FL USA,33020,6:30AM,,HOLLYWOOD,BROWARD,4.32,662
Chinese Restaurant,"Chinese Restaurant, Coral Terrace, FL 33155",0x88d9b86c23bb04eb:0x2a82da546b7feb1b,,25.734375,-80.3125,Restaurant,5.0,1,,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b86c23bb04eb:0x2a82da546b7feb1b?authuser=-1&hl=en&gl=us,1,0,0,0,1,Coral Terrace FL USA,33155,,,MIAMI,MIAMI-DADE,,
